S_No,Scientific_Name,Family,Common_Name,Herbarium_Uses_URL,source_file
1148,Manilkara hexandra (Roxb.) Dubard,EUPHORBIACEAE,Khirni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013538&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1149,Manilkara kauki (L.) Dubard,SAPOTACEAE,Khirni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013536&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1150,Marrubium vulgare L.,MARANTACEAE,Paharigandana,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013213&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1151,Marsdenia roylei Wight,ASCLEPIADACEAE,Murkula,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009485&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1152,Marsdenia tenacissima (Roxb.) Moon,ASCLEPIADACEAE,"Jiti, Chiti",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009484&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1153,Marsdenia tinctoria R.Br.,ASCLEPIADACEAE,Riyong (North Bengal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009481&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1154,Marsilea minuta L.,MARSILEACEAE,Susnishak (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008546&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1155,Matricaria chamomilla L.,ASTERACEAE,Babunphul,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009337&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1156,Matthiola incana (L.) R.Br.,ASTERACEAE,Todri lila (Punjab.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013877&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1157,Maytenus emarginata (Willd.) Ding Hou,BRASSICACEAE,Henkal (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003371&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1158,Measa chisia Ham. ex D.Don,CELASTRACEAE,Susi-poma (Assamese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009551&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1159,Measa indica (Roxb.) DC.,MYRSINACEAE,Kramighna Phal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009550&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1160,Measa ramentacea Wall.,MYRSINACEAE,Seketia (Assamese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009549&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1161,Medicago sativa L.,FABACEAE,"Wilayti-gawuth, Lasunghas",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003420&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1162,Melanorrhoea usiata Wall.,ANACARDIACEAE,Kheu (Manipur),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008586&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1163,Melastoma malabathricum L.,MELASTOMATACEAE,Palore (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013506&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1164,Melia azedarach L.,MELIACEAE,"Drek, Bakain",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008601&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1165,Melilotus alba Medik. ex Desr.,FABACEAE,Safed Senji,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003361&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1166,Melilotus indica (L.) All.,FABACEAE,Banmethi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003362&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1167,Melilotus officinalis (L.) Medik. ex Desr.,FABACEAE,Yellow Sweetclover (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003360&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1168,Melissa axillaris (Benth.) Bakh.f.,LAMIACEAE,Bililotan,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013249&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1169,Melochia corchorifolia L.,STERCULIACEAE,Bilpat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013934&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1170,Melodinus monogynus Roxb.,APOCYNACEAE,Soh-brab (Khasi Hills),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009447&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1171,Melothria amplexicaulis (Lam.) Cogn.,CUCURBITACEAE,Tarali,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009427&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1172,Melothria maderaspatana (L.) Cogn.,CUCURBITACEAE,"Agumaki, Bilari",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009428&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1173,Melothria scabra Naudin,CUCURBITACEAE,Varali (Bombay),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009426&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1174,Memecylon angustifolium Wight,MELASTOMATACEAE,Vellaikkaya (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009640&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1175,Memecylon umbellatum Burm.f.,MELASTOMATACEAE,Anjani (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013503&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1176,Mentha aquatica L.,LAMIACEAE,Water Mint (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008694&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1177,Mentha arvensis L.,LAMIACEAE,"Podina, Pudina",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008689&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1178,Mentha longifolia (L.) Huds.,LAMIACEAE,"Podina, Jungli pudina",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008685&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1179,Mentha piperita L.,LAMIACEAE,"Paparaminta, Gamathi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008691&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1180,Mentha pulegium L.,LAMIACEAE,Pudding Grass (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008692&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1181,Mentha sativa L.,LAMIACEAE,Peppermint (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008702&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1182,Mentha spicata L.,LAMIACEAE,"Pahari pudina, Pudina",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008687&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1183,Mentha verticillata D.Don,LAMIACEAE,Whorled Mint (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008704&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1184,Menyanthes trifoliata L.,MENYANTHACEAE,Bog bean (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009406&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1185,Meriandra bengalensis Benth.,LAMIACEAE,Kafurkapat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013246&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1186,Meriandra strobilifera Benth.,LAMIACEAE,Kafurkapat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013247&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1187,Merremia dissecta (Jacq.) Hallier f.,CONVOLVULACEAE,Noyau vine (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000006538&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1188,Merremia gangetica (L.) Cufod.,CONVOLVULACEAE,Musakani,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009816&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1189,Merremia tridentata (L.) Hallier f.,CONVOLVULACEAE,Prasarini (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009814&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1190,Merremia turpethum (L.) Shah & Bhatt,CONVOLVULACEAE,"Nishothra, Terpeth root (Eng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009820&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1191,Merremia umbellata (L.) Hallier f.,CONVOLVULACEAE,Sapussundu (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009774&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1192,Merremia vitifolia (Burm.f.) Hallier f.,CONVOLVULACEAE,Navalicha vel (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009812&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1193,Mesua ferrea L.,CLUSIACEAE,"Nagkesar, Nagesar (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013852&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1194,Meyna laxiflora Robyns,RUBIACEAE,"Muyna, Muduna",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009385&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1195,Michelia champaca L.,MAGNOLIACEAE,"Champa, Champaca",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013912&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1196,Michelia montana Blume,MAGNOLIACEAE,Pan sopa (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013911&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1197,Michelia nilagirica Zenk.,MAGNOLIACEAE,Shembuga (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013908&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1198,Microcos paniculata L.,TILIACEAE,Shiral,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003844&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1199,Micromeria biflora (Buch.-Ham. ex D.Don) Benth.,LAMIACEAE,Ote budu ba (Mundari),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013250&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1200,Micromeria capitellata Benth.,LAMIACEAE,Karvat (Bombay),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008543&column=szBarcode,BSI_Medicinal_Plant_Database (11).csv
1201,Microrhychus nudicaulis Less.,ASTERACEAE,Paprastaka,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009297&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1202,Microsorum scolopendria (Burm.f.) Copel,POLYPODIACEAE,Paku Wangi (Malay),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008568&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1203,Mikania cordata (Burm.f.) B.L.Rob.,ASTERACEAE,Tara lata (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009310&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1204,Miliusa velutina (Dunal) Hook.f. & Thoms.,ANNONACEAE,"Dom-sal, Kari",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013901&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1205,Millettia extensa (Benth.) Baker,FABACEAE,"Gauj, Gonj",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003348&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1206,Millettia pachycarpa Benth.,FABACEAE,Bishloti (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003345&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1207,Millettia piscidia Wight,FABACEAE,Dieng-sohlynthein (Khasi Hills),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003346&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1208,Millettia racemosa Benth.,FABACEAE,Jungi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003347&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1209,Millingtonia hortensis L.f.,BIGNONIACEAE,"Neem-chameli, Akas nim",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009132&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1210,Mimosa pudica L.,MIMOSACEAE,"Lajwanti, Chui-mui",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003464&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1211,Mimosa rubicaulis Lam.,MIMOSACEAE,Shiah-kanta,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003462&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1212,Mimulus moschatus Douglas ex Lindl.,SCROPHULARIACEAE,Musk Plant (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013271&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1213,Mimulus strictus Benth.,SCROPHULARIACEAE,Erect Monkey Flower (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013270&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1214,Mimusops elengi L.,SAPOTACEAE,"Maulsari, Bakul",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013537&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1215,Mitragyna parvifolia (Roxb.) Korth.,RUBIACEAE,"Kaim, Kalmi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009405&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1216,Mitragyna rotundifolia (Roxb.) Kuntze,RUBIACEAE,Timi (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009404&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1217,Mollugo cerviana (L.) Ser.,MOLLUGINACEAE,Ghimasak (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009489&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1218,Mollugo nudicaulis Lam.,MOLLUGINACEAE,Parppadagam (Madras),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009491&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1219,Mollugo pentaphylla L.,MOLLUGINACEAE,Khet-papara (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009490&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1220,Monotropa uniflora L.,MONOTROPACEAE,Indian Pipe (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009488&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1221,Morinda citrifolia L.,RUBIACEAE,"Surangi, Bartundi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009589&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1222,Morinda umbellata L.,RUBIACEAE,Pitadaru (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009590&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1223,Moringa concanensis Nimmo,MORINGACEAE,Jangli sargua,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003439&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1224,Moringa oleifera Lam.,MORINGACEAE,"Sahjana, Sahijana",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003441&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1225,Mormordica balsamina L.,CUCURBITACEAE,Mokha,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009409&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1226,Mormordica charantia L.,CUCURBITACEAE,"Karela, Kareli",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009423&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1227,Mormordica cochinchinensis (Lour.) Spreng.,CUCURBITACEAE,"Gulkakra, Gangerua",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009408&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1228,Mormordica dioica Roxb. ex Willd.,CUCURBITACEAE,"Kaksa, Golkandra",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009407&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1229,Morus alba L.,MORACEAE,"Tut, Chinni",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009203&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1230,Morus australis Poir.,MORACEAE,Kiskuri (Assamese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009204&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1231,Morus nigra L.,MORACEAE,Shah-tut,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009114&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1232,Moschosma polystachyum Benth.,LAMIACEAE,Musk basil (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008719&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1233,Mucuna gigantea DC.,FABACEAE,Enugadulagondi (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003316&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1234,Mucuna monosperma DC. ex Wight,FABACEAE,Khatavangi (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003317&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1235,Mucuna nigricans (Lour.) Steud.,FABACEAE,Kasi (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003318&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1236,Mucuna pruriens (L.) DC.,FABACEAE,"Kevanch, Kaunch",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003315&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1237,Murdannia scapiflora (Roxb.) Royle,COMMELINACEAE,Musli-Siyah,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003058&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1238,Murraya koenigii (L.) Spreng.,RUTACEAE,"Kathneem, Mitha neem",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009833&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1239,Murraya paniculata (L.) Jacq.,RUTACEAE,"Kamini, Marchula",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009832&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1240,Musa paradisiaca L.,MUSACEAE,Kela,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003021&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1241,Mussaenda glabra Vahl,RUBIACEAE,Charai-atha (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009394&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1242,Mussaenda glabrata (Hook.f.) Hutch. ex Gamble,RUBIACEAE,"Bedina, Bebina",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009395&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1243,Myrica esculenta Buch.-Ham.,MYRICACEAE,"Kaiphal, Kaphala",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009192&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1244,Myricaria bracteata Royle,TAMARICACEAE,Shalakat (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013145&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1245,Myristica dactyloides Gaertn.,MYRISTICACEAE,Jayaphal (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008539&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1246,Myristica fragrans Houtt.,MYRISTICACEAE,"Jaiphal, Jayapatri",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008517&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1247,Myristica malabarica Lam.,MYRISTICACEAE,Patthiri (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008541&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1248,Myrsine africana L.,MYRSINACEAE,Chapra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009658&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1249,Myrtus communis L.,MYRTACEAE,"Vilayati mehndi, Murad",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009546&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1250,Myxopyrum smilacifolium (Wall.) Blume,OLEACEAE,Chathuravalli (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009431&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1251,Nannorhops ritchiena (Griff.) Wendl.,ARECACEAE,Mazari Palm (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003203&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1252,Nardostachys grandiflora DC.,VALERIANACEAE,"Bal-chir, Jatamansi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009494&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1253,Naringi crenulata (Roxb.) Nicolson,RUTACEAE,"Beli, Surasi (Sanskrit)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009834&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1254,Nelumbo nucifera Gaertn.,NYMPHAEACEAE,"Kanwal, Kamal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013888&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1255,Neolitsea cassia (L.) Kosterm.,LAURACEAE,Kanvel (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013114&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1256,Olea dioica Roxb.,OLEACEAE,Atta-jam (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009571&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1257,Olea europaea L.,OLEACEAE,Common Olive (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009659&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1258,Olea ferruginea Royle,OLEACEAE,"Kahu, Kankao (N.W. Himalayas)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009429&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1259,Olea glandulifera Wall. ex G.Don,OLEACEAE,Gulili (N.W. Himalayas),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009572&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1260,Onosma bracteatum Wall.,BORAGINACEAE,"Gaozaban, Shankhahuli",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009142&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1261,Onosma hispidum Wall. ex G.Don,BORAGINACEAE,Ratanjot,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009141&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1262,Ophioglossum vulgatum L.,OPHIOGLOSSACEAE,Adder's-tongue (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008560&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1263,Ophiorrhiza mungos L.,RUBIACEAE,Sarahati,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009396&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1264,Opuntia coccinellifera Mill.,CACTACEAE,Cochineal Cactus (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009506&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1265,Opuntia nigricans Haw.,CACTACEAE,Nagadali (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009505&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1266,Oreocnide integrifolia Miq.,URTICACEAE,Lipe (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013391&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1267,Origanum vulgare L.,LAMIACEAE,Sathra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008708&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1268,Ormocarpum sennoides DC.,FABACEAE,Kananashekhara (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003337&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1269,Orobanche aegyptiaca Pers.,OROBANCHACEAE,"Sarsan-banda, Bhatua ghas",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009193&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1270,Oroxylum indicum (L.) Vent.,BIGNONIACEAE,"Ullu, Saona",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009130&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1271,Orthosiphon grandiflorus Boldingh.,LAMIACEAE,Java tea (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008671&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1272,Orthosiphon pallidus Royle ex Benth.,LAMIACEAE,Arjaka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008669&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1273,Osbeckia crinita Benth.,MELASTOMATACEAE,Handi samba (Bhutan),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013504&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1274,Osbeckia nepalensis Hook.,MELASTOMATACEAE,Baga phatkala (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013505&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1275,Osmanthus fragrans Lour.,OLEACEAE,Silang (U.P. Hills),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009430&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1276,Osmunda regalis L.,OSMUNDACEAE,Royal Fern (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008558&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
1277,Ougeinia oojeinensis (Roxb.) Hochr.,FABACEAE,"Sandan, Panjan",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003340&column=szBarcode,BSI_Medicinal_Plant_Database (12).csv
