botanical,family,trade_name,source,med_sys_tag
Croton oblongifolius Roxb.,EUPHORBIACEAE,Bhutankusha,W,AFST
Croton tiglium L.,EUPHORBIACEAE,"Jamlghota,; Japala",C,AFHSTU
Cryptocoryne spiralis (Retz.),ARACEAE,Natti - ati -; Vasa,W,FS
Cryptolepis buchananii R.Br. ex,PERIPLOCACEAE,"Medaksinghi,; Sariva",W,AFS
Cucumis melo L.,CUCURBITACEAE,"Kakadi beej,; Magaj Kharbuja",C/W,AFSTU
Cucumis sativus L.,CUCURBITACEAE,Beej Kheera,C,AFSTU**
Cucumis trigonus Roxb.,CUCURBITACEAE,Jangli-Indrayan,C,AFS
Cucurbita maxima Duch.,CUCURBITACEAE,Pumpkin,C,AFSU
Cucurbita moschata (Lam.),CUCURBITACEAE,"Kaddu, Kumrah",C,FSU
Cuminum cyminum L.,APIACEAE,"Jeera,; Shahjeera",C,AFSTU
Curculigo orchioides Gaertn.,HYPOXIDACEAE,"Kali; musali,; Musli",W,AFSTU
Curcuma amada Roxb.,ZINGIBERACEAE,Amba haldi; shiya,C/W,AFSU
Curcuma angustifolia Roxb.,ZINGIBERACEAE,Tikhur,C/W,AFSU
Curcuma aromatica Salisb.,ZINGIBERACEAE,"Kasturi; manjal,; arishna,",C/W,AFSU
Curcuma caesia Roxb.,ZINGIBERACEAE,"Nar-; Kapu-kachri; kachura,; Kala-haldi",W,F
Curcuma longa L.,ZINGIBERACEAE,"Arishna, Haldi,; Kari manjal",C,AFHSTU
Curcuma zerumbet Roxb.; [= C. zedoaria (Christm.) Roscoe],ZINGIBERACEAE,"Kachur,; Kachari",C/W,T
Cuscuta reflexa Roxb.,CONVOLVULACEAE,"Aftimoon,; Tukhme-; Kasus",W,AFSU
Cyathula prostrata (L.) Blume,AMARANTHACEAE,Kadalaavanakkin; veru,W,AF
Cycas circinalis L.,CYCADACEAE,Madhana; kama poo,W,AFS**
Cyclea peltata (Lam.) Hook.f. &,MENISPERMACEAE,Paada kizhangu,W,AFS
Cymbopogon citratus (DC.) Stapf,POACEAE,"Serai, Rohisha",C/W,AFSU
Cymbopogon flexuosus (Nees,POACEAE,Lemon grass,W,F
Cymbopogon martinii (Roxb.) Wats,POACEAE,Ginger grass,W,AST
Cynodon dactylon (L.) Pers.,POACEAE,"Durva, Karuka",C,AFHSTU
Cyperus esculentus L.,CYPERACEAE,Musta,W,AU
Cyperus rotundus L.,CYPERACEAE,"Nagarmotha,; Mustha",W,ASTU
Cyperus scariosus R.Br.,CYPERACEAE,Nagarmotha,W,AFSU
Dactylorhiza hatagirea (D.Don.) Soo,ORCHIDACEAE,Salampanja,W,AFSTU
Dalbergia latifolia Roxb.,FABACEAE,Kala Sheeshan,W,AFS
Dalbergia sissoo DC.,FABACEAE,Shisham,C/W,ASTU
Datura arborea L.,SOLANACEAE,"Datura,; Umathi",I,H
Datura innoxia Mill.,SOLANACEAE,Datura,W,A
Datura metel L.,SOLANACEAE,Duttura,W,ASW
Datura stramonium L.,SOLANACEAE,"Datura,; Umathi",W,AFHSU
Daucus carota L. var. sativa DC.,APIACEAE,Gaajar Beej,C,AFSU
Decalepis hamiltonii Wight & Arn.,PERIPLOCACEAE,Magali,W,AFS
Delonix elata (L.) Gamble,CAESALPINIACEAE,Sanchal,C,AFS**
Delphinium denudatum Wall. ex,RANUNCULACEAE,"Jadwar,; Jadavar kath,; Nirbishi",W,AU
Dendrobium nobile Lindl.,ORCHIDACEAE,-,W,F
Dendrophthoe falcata (L.F) Blume,LORANTHACEAE,Bandaka,W,AF
Derris scandens (Roxb.) Benth.,FABACEAE,Gonj,W,FS
Desmodium gangeticum (L.) DC.,FABACEAE,"Salparni,; Prasniparni",W,AFHSTU
Desmodium pulchellum (L.) Benth.,FABACEAE,"Lodhra, Kheri",W,A
Desmodium triflorum (L.) DC.,FABACEAE,Hamsapapdi,W,AFS
Desmostachya bipinnata (L.) Stapf,POACEAE,Dharbha,W,ASTU
Dichrostachys cinerea (L.) Wight & Arn. MIMOSACEAE,,Virtuli,W,AFST
Didymocarpus pedicellata R.Br.,GESNERIACEAE,"Shilapushpi,; Pathar phori,; Pasanphodi",W,A
Dillenia pentagyna Roxb.,DILLENIACEAE,Nagkesaram,W,AFS
Dioscorea alata L.,DIOSCOREACEAE,Sewalli kodi,C/W,AFS
Dioscorea bulbifera L.,DIOSCOREACEAE,Varahi kand,C/W,AFSTU
Dioscorea deltoidea Wall. ex Griseb.,DIOSCOREACEAE,Shingli mingli,C/W,FW
Dioscorea oppositifolia L.,DIOSCOREACEAE,Sarpahya,W,AFS
Dioscorea pentaphylla L.,DIOSCOREACEAE,Kanta alu,W,AFS
Diospyros buxifolia (Blume) Hiern,EBENACEAE,Elichevian,W,F
Diospyros ebenum Koenig,EBENACEAE,Abnus,W,FSU
Diospyros lotus L.,EBENACEAE,Amlok,W,F
Diospyros melanoxylon Roxb.,EBENACEAE,Tendu,W,AFSUTag **
Diplocyclos palmatus (L.) C.Jeffrey,CUCURBITACEAE,Shivling beej,W,AFS
Dodonaea angustifolia (L.f.) Benth.,SAPINDACEAE,"Aliar,; jangli-anar",W,F
Dolichos biflorus L.; [= Macrotyloma uniflorum (Lam.),FABACEAE,"Kulthi, Muthira",C,AFSTU
Dorema ammoniacum D.Don,APIACEAE,Ushaq,I,AHU
Drosera peltata Smith,DROSERACEAE,Drosera,W,FS
Dryobalanops aromatica Gaertn.,DIPTEROCARPA-; CEAE,Baraas; (Bhimseni; kapoor),I,A
Dryopteris filix-mas (L.) Schott,DRYOPTERIDACEAE,"Shield fern,; Hirvi",W,HS
Drypetes roxburghii (Wall.) Hurus.; [= Putranjiva roxburghii Wall.],EUPHORBIACEAE,Putrjivak,C/W,AFS
Dysoxylum malabaricum Bedd. ex Hiern,MELIACEAE,Vellakil,W,AFS
Ecbolium viride (Forssk.) Alston; [= E. linneanum Kurz],ACANTHACEAE,"Udajati,; Sahacarah",W,AF
Echinops echinatus Roxb.,ASTERACEAE,Utkanta,W,AFSU
Eclipta prostrata (L.) L.; [= E. alba Hassk.],ASTERACEAE,Bhringaraj,W,AFS
Elaeocarpus sphaericus (Gaertn.) K.Schum.; [ = E. ganitrus Roxb.],ELAEOCARPACEAE,Rudraksh,C/W,AF**
Elephantopus scaber L.,ASTERACEAE,Gjihiva,W,AFS
Elettaria cardamomum Maton,ZINGIBERACEAE,"Elachi Chhoti,; Ilaychi",C/W,A
Eleutherococcus senticosus,ARALIACEAE,Ginseng,I,W
Embelia ribes Burm.f.,MYRSINACEAE,"Vaividang,; Vidanga",W,AFHSTU
Embelia tsjeriam-cottam (Roem.,MYRSINACEAE,Vaividang,W,AF
Emblica officinalis Gaertn.; [= Phyllanthus emblica L.],EUPHORBIACEAE,"Amla, Anwala",W/C,AFSTU
Emilia sonchifolia (L.) DC.,ASTERACEAE,Muyalcheviyan,W,AFS
Enicostemma axillare (Lam.) Raynal; [ = E. littorale non Blume;,GENTIANACEAE,Mamejava,W,AFS
Entada pursaetha DC.; [= E. rheedii Spreng.;,MIMOSACEAE,Yaanai; Kazharchi; Kaai,W,F**
Ephedra equisetina Bunge,EPHEDRACEAE,Somalatha; (Subs.),W,F
Ephedra gerardiana Wall. ex J.A. Mey,EPHEDRACEAE,Somalatha,W,AH
Ephedra intermedia Schr. & Mey,EPHEDRACEAE,Somalatha,W,F
Ephedra sinica Stapf,EPHEDRACEAE,Ephedra,W,F
Equisetum arvense L.,EQUISETACEAE,"Bottle brush,; Horse tail",W,FW
Erythrina suberosa Roxb.,FABACEAE,"Pangra,; Vellaimurukku",W,FS
Erythrina variegata L.; [= E. indica Lam.],FABACEAE,Murikkila,C/W,AFST
Eucalyptus citriodora Hook.,MYRTACEAE,Eucalyptus,C,F
Eucalyptus globulus Labill,MYRTACEAE,Eucalyptus,C,AFHSW
Eulaliopsis binata (Retz.) C.E.Hubb.,POACEAE,Bal vaja,W,A
Eulophia campestris Wall. ex Lindl.,ORCHIDACEAE,Salam mishri,W,AU
Euphorbia antiquorum L.,EUPHORBIACEAE,Kallippalaveru,W,AFSU**
Euphorbia hirta L.,EUPHORBIACEAE,"Dudhi, Dudhika",W,AFSU
Euphorbia neriifolia L.,EUPHORBIACEAE,"Pattankisend,; Nanda",C/W,AFSTU
Euphorbia nivulia Buch.-Ham.,EUPHORBIACEAE,Sehunda,W,AFS
Euphorbia thymifolia L.,EUPHORBIACEAE,Choti - Dudhi,W,AFU
Euphorbia tirucalli L.,EUPHORBIACEAE,Modu kalli,C,AFSU
Euphorbia tortilis Rottler ex Ainslie,EUPHORBIACEAE,"Tirugakalli,; Vajratunda",W,AS
Euryale ferox Salisb. ex K.D.Koenig,NYMPHAEACEAE,Phoolmakhana,C/W,ASU
Evolvulus alsinoides (L.) L.,CONVOLVULACEAE,"Shankhavali,; Shankhpush",W,AFSTU
Excoecaria agallocha L.,EUPHORBIACEAE,"Agaru, Tejbala",W,AFS
Fagonia cretica L.,ZYGOPHYLLACEAE,Dhamasa,W,ATU
Ferula assa-foetida L.,APIACEAE,"Hingu, Hing",I,AFHSU
Ferula foetida (Bunge) Regel.,APIACEAE,Hing hira; (Baandani),I,ASTU
Ferula jaeschkeana Vatke,APIACEAE,"Hingupatri,",W,A
Ferula narthex Boiss.,APIACEAE,Sahasravedhi,W,AFHU
Ficus arnottiana (Miq.) Miq.,MORACEAE,Kallaltholi,W,AFS
Ficus benghalensis L.,MORACEAE,"Vadachhal,; Vatathwak",W/C,AFHSTU
Ficus carica L.,MORACEAE,"Anjeer,; Anjoora",C,AFSU**
Ficus gibbosa Blume,MORACEAE,Ithitholi,W,FS
Ficus mollis Vahl,MORACEAE,Kaaduatthi,W,F
Ficus racemosa L.,MORACEAE,"Umbar chal,; Lakh pipal",C/W,AFSTU
Ficus religiosa L.,MORACEAE,"Lakh pipal,; Arayaalin tholi",C/W,AFHSTU
Ficus tsiela Roxb. ex Buch.-Ham.,MORACEAE,Plaksha,W,AFS
Ficus tsjakela Burm.f.,MORACEAE,"Pilkhan,; Kapitanah",W,A
Flacourtia indica (Burm.f.) Merr.,FLACOURTIACEAE,Kattar,W,AFST
Flacourtia jangomas (Lour.) Raeusch.,FLACOURTIACEAE,"Talish pattar,; Brahmi; Talispatar",W,AS
Flemingia chappar Buch.-Ham.,FABACEAE,Salpan (Subs.),W,F
Flemingia grahamiana Wight & Arn.,FABACEAE,Warrus/ Varus,W,F
Flemingia macrophylla (Willd.),FABACEAE,Varrus / Varus,W,AF
Flemingia semialata Roxb. ex,FABACEAE,Salpan (Subs.),W/C,F
Flickingeria fugax (Rchb.f.) Seidenf.,ORCHIDACEAE,Jivanti,W,F
Flickingeria macraei (Lindl.) Seidenf.; [ = Ephemerantha macraei (Lindl.),ORCHIDACEAE,Jivanti,W,AF
Flickingeria nodosa (Dalz.) Seidenf.; [= Dendrobium macraei,ORCHIDACEAE,Jivanti,W,AF
Flueggea microcarpa Blume,EUPHORBIACEAE,"Dalme, Patali",W,ATag **
Foeniculum vulgare Gaertn.,APIACEAE,"Badiyan; Khatal, Saunf; (Variyali)",C,AFSTUW
Fritillaria roylei Hook.,LILIACEAE,Kakoli,W,A
Fumaria indica (Hauskn.) Pugsley; [ = F. parviflora Lam.],FUMARIACEAE,Shahtara,W,A
Fumaria officinalis L.,FUMARIACEAE,"Pittapapdo; ghas, Pitpapra",I,AFU
Garcinia gummi-gutta (L.) N.Robson; [ = G. cambogia (Gaertn.) Desr.],CLUSIACEAE,"Kokam,; Kodampuli",C/W,A
Garcinia indica (Dup.) Choisy,CLUSIACEAE,"Kokam,; Cambogie",W/C,AT
Garcinia morella (Gaertn.) Desr.,CLUSIACEAE,Kadukaai puli,W,AFHSTU
Garcinia pedunculata Roxb. ex,CLUSIACEAE,Amlavetasa,W,AT
Gardenia gummifera L.f.,RUBIACEAE,"Dekamalli,; Dikamali",W,AFSTU
Gardenia resinifera Roth,RUBIACEAE,Dikamali,W,AS
Garuga pinnata Roxb.,BURSERACEAE,"Ghoghar,; Kharpat",W,AFST
Gentiana kurroo Royle,GENTIANACEAE,"Trahimaan,; Kadu, Katuki",W,ATU
Geophila reniformis D.Don; [ = G. repens (L.) I.M.Johnst],RUBIACEAE,Kakamaci,W,FTag **
Girardinia heterophylla Decne.; [ = G. diversifolia (Link) Friis],URTICACEAE,"Gaddanelli,; Anachoriyan",W,F
Givotia rottleriformis Griff. ex Wight,EUPHORBIACEAE,Polki,W,FS
Glinus lotoides L.,AIZOACEAE,Gandhi-Buti,W,AS
Glinus oppositifolius (L.) A.DC.,AIZOACEAE,Ushnasundara,W,AFS
Gloriosa superba L.,LILIACEAE,Kalihari,C/W,AFSTU
Glossocardia bosvallea (L.f.) DC.,ASTERACEAE,Parpataka,W,A
Glycosmis arborea (Roxb.) DC.,RUTACEAE,"Potali,; Kupilah",W,A
Glycyrrhiza glabra L.,FABACEAE,"Mulathi,; Jeshtimadhu,; Gulegafis",I,AFSTUW
Glycyrrhiza uralensis DC.,FABACEAE,"Mulathi,; Jeshtimadhu,; Gulegafis",I,F
Gmelina arborea Roxb.,LAMIACEAE,"Ghambar chal,; Shivan; (Ghambari); (Chal)",W/C,AFST
Gmelina asiatica L.,VERBENACEAE,Kapas Beej,W,AFS
Gossypium arboreum L.,MALVACEAE,Kapas,C,AFSU
Gossypium herbaceum L.,MALVACEAE,Kapas,C,AFHSTU
Gossypium hirsutum L.,MALVACEAE,Kapas,C,ASW
Gouania microcarpa DC.,RHAMNACEAE,Sinhanbali,W,F**
Grewia elastica Royle; [= Grewia asiatica L. var. vestita Mast.],TILIACEAE,Phalsa chhaal,C/W,A
Grewia microcos L.,TILIACEAE,Asolin,W,F
Grewia subinaequalis DC.; [ = Grewia asiatica Mast. var. asiatica],TILIACEAE,-,W,AFSTU
Gymnema sylvestre R.Br. ex Schult.,ASCLEPIADACEAE,"Gudmar,; Sirukurinja",W,AFHSTU
Habenaria edgeworthii Hook.f.,ORCHIDACEAE,Riddhi,W,A
Hedychium acuminatum Roscoe,ZINGIBERACEAE,Kantapalci,W,F
Hedychium coronarium J.Konig,ZINGIBERACEAE,"Garland; flower,; Common; Ginger Lily",W,S
Hedychium spicatum Sm.; [ = Oldenlandia corymbosa L.],ZINGIBERACEAE,Kapoor kachri,W,AFTU
Hedyotis corymbosa (L.) Lam.,RUBIACEAE,Pitpapra,W,AF
Hedyotis herbacea L.,RUBIACEAE,Pippapada,W,AFH
Hedyotis puberula (G.Don) Arn.; [ = Oldenlandia umbellata L.],RUBIACEAE,Impural,W,AF
Helianthus annuus L.,ASTERACEAE,Sunflower,C,AHSU
Helicteres isora L.,STERCULIACEAE,"Murudshing; ,; Marodphali",W,AFSU
Heliotropium indicum L.,BORAGINACEAE,Thekkada,W,AFSU
Helleborus niger L.,RANUNCULACEAE,Katuka Rohini,I,AFHSU
Hemidesmus indicus (L.) R.Br.,PERIPLOCACEAE,"Anatmool,; Sariwa,",W,AFSTUTag **
Hemionitis arifolia (Burm.) Moore,HEMIONITIDACEAE,"Akhukarni,; Pattsjivi-; Maravara",W,AF
Heracleum candolleanum (Wight &,APIACEAE,Kattumalli; (Subs.),W,F
Heracleum lanatum Michx.,APIACEAE,Krandel,C/W,F
Heracleum rigens DC.,APIACEAE,Cittrelam,W,FS
Hibiscus rosa-sinensis L.,MALVACEAE,"Jashwanti,; Jaswand, Japa",C,AFSU
Hibiscus surattensis L.,MALVACEAE,Ranbhindi,W,FS
Hibiscus tiliaceus L.,MALVACEAE,Parutti,W,AFS
Hippophae rhamnoides L.,ELAEAGNACEAE,Sea Buckthorn,W,F
Hippophae salicifolia D.Don,ELAEAGNACEAE,Sea Buckthorn,C/W,F
Holarrhena pubescens (Buch.-Ham.),APOCYNACEAE,"Inderjao; Kadwa,; Kudacha; l, Kutja",W,AFH
Holoptelea integrifolia (Roxb.) Planch.,ULMACEAE,Aavitholi,W,AFS
Holostemma ada-kodien Schult.; [ = H. annulare (Roxb.) K.Schum.;,ASCLEPIADACEAE,Jeevanti,W,AFTag **
Homonoia riparia Lour.,EUPHORBIACEAE,"Serna,; Pashanbheda; ka",W,AS
Hordeum vulgare L.,POACEAE,Jaw,C,AFSTU
Hugonia mystax L.,LINACEAE,Kamsamrah,W,AFS
Hybanthus enneaspermus (L.f.),VIOLACEAE,"Ratanpurus,; Padmacarini",W,AFS
Hydnocarpus kurzii (King) Warb.,FLACOURTIACEAE,"Nirati,; Chaulmoogra",W,AFS
Hydnocarpus pentandrus,FLACOURTIACEAE,Marotti,W,AFS
Hydrocotyle javanica Thunb.,APIACEAE,Brahma; manduki,W,F
Hygrophila schulli (Buch.-Ham.); [= H. auriculata (Schumach.) Heine;,ACANTHACEAE,Tal makhana,W,AF
Hygroryza aristata (Retz.),POACEAE,Janli dal,W,AF
Hymenodictyon excelsum (Roxb.) Wall.,RUBIACEAE,Kuthan,W,AF
Hyoscyamus muticus L.,SOLANACEAE,Parasikaya,I,A
Hyoscyamus niger L.,SOLANACEAE,Khursani; Ajwain,C/W,AHSUW
Hypericum perforatum L.,HYPERICACEAE,St. John’s; wart,W,HW
Hyssopus officinalis L.,LAMIACEAE,"Zoofa, Jupha",C/W,FUTag **
Ichnocarpus frutescens (L.) W.T.Aiton,APOCYNACEAE,"Dudhi, Sariva",W,AFST
Illicium griffithii Hook.f. & Thomson,MAGNOLIACEAE,Star; Anise; (Subs.),W,AS
Illicium verum Hook.f.,MAGNOLIACEAE,Star Anise,I,AS
Imperata cylindrica (L.) Raeusch.,POACEAE,Thatch grass,W,AFS
Indigofera tinctoria L.,FABACEAE,"Akika, Avuri",C,AFHSTU
Inula racemosa Hook.f.,ASTERACEAE,"Pushkarmool,; Pokharmool",C,AFT
Inula royleana DC.,ASTERACEAE,Pushkarmool,W,A
Ipomoea mauritiana Jacq.; [ = I. digitata L.],CONVOLVULACEAE,Palmudhukkan; kizhangu,W,AF
Ipomoea nil (L.) Roth,CONVOLVULACEAE,Kaladana,W,AFS
Ipomoea obscura Ker-Gawl.,CONVOLVULACEAE,Laksmana,W,AFS
Ipomoea pes-caprae (L.) R.Br.; [ = I. biloba Forssk.],CONVOLVULACEAE,Dopatilata,W,AFS
Ipomoea pes-tigridis L.,CONVOLVULACEAE,Pulichuvadan,W,AFS
Ipomoea petaloidea Choisy,CONVOLVULACEAE,Vrddhadaru,W,F
Ipomoea reptans Poir.,CONVOLVULACEAE,Kalashaka,C/W,A
Ipomoea sepiaria Roxb.,CONVOLVULACEAE,Thiruthaali,W,AFS
Iris germanica L.,IRIDACEAE,Puskaramulam Herb,W,AHTU
Ixora coccinea L.,RUBIACEAE,Thechippoovu,W,AFS
Jasminum angustifolium (L.) Thunb.,OLEACEAE,Ban-mallika,C/W,AFS
Jasminum grandiflorum L.,OLEACEAE,Chameliphool,C/W,AFSTUTag **
Jasminum officinale L.,OLEACEAE,Ban chameli,C/W,AFHU
Jasminum sambac (L.) Aiton,OLEACEAE,"Mallika,; Mogra",C/W,AFSTU
Jatropha curcas L.,EUPHORBIACEAE,Nepalam seed,C,AFHSU
Juglans regia L.,JUGLANDACEAE,Akhrot,C/W,AFHSTU
Juniperus communis L.,CUPRESSACEAE,Hauber,W,AHTUW
Juniperus macropoda Boiss.,CUPRESSACEAE,Hapusa,W,A
Jurinea macrocephala DC.; [ = J. dolomiaea Boiss.],ASTERACEAE,Dhoop,W,AF
Justicia gendarussa Burm.f.; [ = Gendarussa vulgaris Nees],ACANTHACEAE,Nilanirgundi,C/W,AFSU
Kaempferia galanga L.,ZINGIBERACEAE,"Kachora,; Narkachur,; Kapoor Kachri; No 1",C,AFS
Kaempferia rotunda L.,ZINGIBERACEAE,Bhuichampa,C,AFS
Kalanchoe laciniata (L.) DC.,CRASSULACEAE,Hemsagara,W,AS
Kedrostis rostrata (Rottler) Cogn.,CUCURBITACEAE,Arunkovai,W,FS
Lagenaria siceraria (Molina) Standley,CUCURBITACEAE,Bottlegourd,C,AFSTU
Lagerstroemia speciosa (L.) Pers.,LYTHRACEAE,Jarul,W,AFTag **
Lagotis glauca Gaertn.,SCROPHULARIACEAE,Kutki; (Adulterant),W,F
Lallemantia royleana (Wall. ex,LAMIACEAE,Tukhm; e-; Balanga,C/W,FU
Lannea coromandelica (Houtt.) Merr.,ANACARDIACEAE,Jingini,C/W,AF
Lantana camara L.,VERBENACEAE,Lantana,W,A
Lathyrus sativus L.,FABACEAE,"Lakh, Khesari",C,AHU
Laurus nobilis L.,LAURACEAE,Hub-ul-ghar,I,FU
Lavandula stoechas L.,LAMIACEAE,Ustakuthus,W,U
Lawsonia inermis L.,LYTHRACEAE,"Henna,; Mehndi",C,AFSTU
Lepidium sativum L.,BRASSICACEAE,"Kurassaan; i, Halam",W,AFSU
Leptadenia reticulata (Retz.),ASCELPIADACEAE,Jivanti,W,AFST
Leucas aspera (Willd.) Link,LAMIACEAE,"Dronpushpi,; Dharanpushpi",W,AFHS
Lilium polyphyllum D.Don,LILIACEAE,Kakoli,W,A
Limonia acidissima L.; [ = Feronia elephantum Correa;,RUTACEAE,Wood apple,C/W,AFSU
Linum usitatissimum L.,LINACEAE,Alsi,C,AFHSTUW
Litsea glutinosa (Lour.) C.B.Rob.; [ = L. chinensis Lam.],LAURACEAE,"Menda Lakadi,; Naramamidi,; Maidachal",W,AFS
Lobelia nicotianaefolia Roth ex,LOBELIACEAE,Lobelia leaves,W,AFS
Lodoicea maldivica (J.F.Gmel.),ARECACEAE,Dariai narial,I,AFU
Luffa acutangula (L.) Roxb.,CUCURBITACEAE,Tori,C,AFHSTUTag **
Luffa aegyptiaca Mill.,CUCURBITACEAE,Ghia- tori,C,AFU
Luffa echinata Roxb.,CUCURBITACEAE,Loofah,W,AFHST
Luvunga scandens (Roxb.) Buch.-Ham.,RUTACEAE,Sugandh-; kokila,W,A
Lycopodium clavatum L.,LYCOPODIACEAE,Foxtail,W,FH
Lygodium flexuosum (L.) Sw.,LYGODIACEAE,Tsjeru-Valli-; Panna,W,F
Madhuca indica J.F.Gmel.; [ = Bassia latifolia Roxb.],SAPOTACEAE,Madhuka,W,AFST
Madhuca longifolia (J.Konig ex L.),SAPOTACEAE,Mahua phool,C/W,AFS
Mahonia leschenaultia (Wall. ex,BERBERIDACEAE,Daruharidra,W,F
Malaxis acuminata D.Don,ORCHIDACEAE,Jivak,W,A
Malaxis muscifera (Lindl.) Kuntze,ORCHIDACEAE,Rsabhakah,W,A
Mallotus philippensis (Lam.) Mull.-Arg.,EUPHORBIACEAE,Kameela,W,AFHSU
Malva sylvestris L.,MALVACEAE,"Khawaj; i,; Khubaj",C/W,FU
Mammea suriga (Buch.-Ham.,CLUSIACEAE,Nagakesr(subs.; i; ),W,AF
Mangifera indica L.,ANACARDIACEAE,Aamba,C/W,AFHSTU
Mappia foetida (Wight) Miers; [ = Nothapodytes nimmoniana,ICACINACEAE,Ghanera,W,W
Maranta arundinacea L.,MARANTACEAE,Citalapattiri,C,AFS
Marsdenia roylei Wight,ASCLEPIADACEAE,Murva,W,A
Marsdenia tenacissima (Roxb.) Moon,ASCELPIADACEAE,Nishod sufed,W,A**
Marsdenia volubilis (L.f.) T.Cooke; [ = Wattakaka volubilis (L.f.) Stapf;,ASCELPIADACEAE,Murva,W,A
Marsilea quadrifolia L.,MARSILEACEAE,Cupatiya,W,AS
Martynia annua L.,PEDALIACEAE,Kaknasa,W,AFS
Maytenus emarginata (Willd.),CELASTRACEAE,Kattangi,W,F
Meconopsis aculeata Royle,PAPAVERACEAE,Kunda,W,F
Medicago sativa L.,FABACEAE,Alfalfa,C,AHUW
Melastoma malabathricum L.,MELASTOMATACEAE,"Palore,; Nakkukaruppa; n",W,AFS
Melia azedarach L.,MELIACEAE,Bakayan phal,W/C,AFSTU
Melocanna bambusoides Trin.,POACEAE,Bansalochan,W,F
Mentha aquatica L.,LAMIACEAE,Watermint,I,F
Mentha arvensis L.,LAMIACEAE,"Pudina,; Podina pati",C,AFSUW
Mentha piperita L.,LAMIACEAE,"Menthol,; Peppermint",C,HUW
Mentha viridis (L. ) L.,LAMIACEAE,Pudino,C,F
Merremia emarginata (Burm.f.),CONVOLVULACEAE,"Underkarni,; Mooshkarni",W,AS
Merremia hederacea (Burm.f.) Hallier f.,CONVOLVULACEAE,Kudici-Valli,W,FS
Merremia tridentata (L.) Hallier f.,CONVOLVULACEAE,Prasarani,W,AFS
Merremia umbellata (L.) Hallier f.,CONVOLVULACEAE,Jalap (Subs.),C,FTag **
Mesua ferrea L.; [= M. nagassarium (Burm.f.) Kosterm.],CLUSIACEAE,"Nagakesari,; Nagkeshar",W,AFHSTU
Michelia champaca L.,MAGNOLIACEAE,Champaka,C/W,AFST
Micromeria biflora (Buch.-Ham. ex,LAMIACEAE,Indian Wild; Thyme,W,F
Mimosa pudica L.,MIMOSACEAE,"Lajwanti,; Lajjalu",W,AFST
Mimusops elengi L.,SAPOTACEAE,Bakul,W/C,AFSTU
Mirabilis jalapa L.,NYCTAGINACEAE,Gulabash,C/W,AFSU
Mitragyna parvifolia (Roxb.) Korth.,RUBIACEAE,Kadamb,C/W,AFS
Mollugo cerviana Ser.,MOLLUGINACEAE,Parpata,W,AFS
Mollugo pentaphylla L.,MOLLUGINACEAE,Turapoondu,W,FS
Momordica charantia L.,CUCURBITACEAE,Karela,C,AFSTU
Momordica dioica Roxb. ex Willd.,CUCURBITACEAE,Jangli-Kareli,W/C,AFS
Monochoria hastaefolia C.Presl.,PONTEDERIACEAE,Karinkuvalum,W,A
Monochoria vaginalis (Burm.f.) C.Presl.,PONTEDERIACEAE,Kolai,W,AFS
Morchella esculenta Pers.,HELVELLACEAE,Guchhi,W,F
Morinda citrifolia L.,RUBIACEAE,Canary wood,W,AFS
Morinda pubescens J.E.Sm.; [= M. coreia Buch.-Ham.;,RUBIACEAE,Manjanatthi,W,AFS
Moringa concanensis Nimmo ex,MORINGACEAE,Kadvo saragvo Tree,W,AST**
Moringa oleifera Lam.,MORINGACEAE,Sahenjana; chaal,C/W,AFSTU
Morus alba L.,MORACEAE,Toot,C,AFSU
Mucuna pruriens (L.) DC.; [= M.prurita Hook.],FABACEAE,"Kavach beej,; Kaunch beej",W/C,AFHSTU
Mucuna utilis Wall. ex Wight; [= M. cochinchinensis Cheval],FABACEAE,"Kavach beej,; Kaunch (Subs.)",C,F
Mukia maderaspatana (L.) M.Roem.; [= Melothria maderaspatana (L.) Cogn.],CUCURBITACEAE,Mucukkai,W,AFS
Murraya koenigii (L.) Spreng.,RUTACEAE,Kariveppila,C/W,AFS
Musa sapientum L.,MUSACEAE,Kadali,W,ASU
Mussaenda frondosa L.,RUBIACEAE,Sribati,W,AFS
Myrica esculenta Buch.-Ham. ex D.Don; [ = M. nagi auct. non Thunb.],MYRICACEAE,"Katphala,; Kaiphal",W,AFSTU
Myristica dactyloides auct. non Gaertn.,MYRISTICACEAE,"Jaiphal,; Javatri,; Nutmeg",W,AS
Myristica fragrans Houtt.,MYRISTICACEAE,Jatipatre,C,AFHSTUW
Myristica malabarica Lam.,MYRISTICACEAE,Rampatri,W,AFS
Myrsine africana L.,MYRSINACEAE,"Chapra,; Vidanga",W,AU
Myrsine capitellata Wall.,MYRSINACEAE,Vidanga (Subs.) Shrub,W,F
Myxopyrum serratulum A.W.Hill,OLEACEAE,Chathuravalli,W,AF
Nardostachys jatamansi (D.Don) DC.,VALERIANACEAE,"Balchad,; Jatamansi",W,ATag **
Naringi crenulata (Roxb.) Nicolson,RUTACEAE,Kadunimba,W,AF
Nelumbo nucifera Gaertn.,NELUMBONACEAE,Kamal phul,W/C,AFSTU
Nepeta cataria L.,LAMIACEAE,Badranjboya,C/W,FUW
Nepeta hindostana (B.Heyne ex,LAMIACEAE,Badranjboya,W,FU
